,seqnames,start,end,width,strand,score,cluster,tpm,nr_ctss,dominant_ctss,tpm.dominant_ctss,q_0.1,q_0.9,interquantile_width
1,chr1,1447542,1447545,4,+,2.65734746545291,1,2.65734746545291,2,1447542,1.52433684217222,0,3,4
2,chr1,2323276,2323281,6,+,3.25149192126503,2,3.25149192126503,3,2323281,1.61476942823894,0,5,6
3,chr1,10459117,10459133,17,+,26.7628148879385,3,26.7628148879385,8,10459121,8.12128734488713,0,9,10
4,chr1,11072708,11072719,12,+,7.25216265957842,4,7.25216265957842,6,11072718,1.8259373074213,3,11,9
5,chr1,11994782,11994786,5,+,1.90563404688527,5,1.90563404688527,2,11994782,1.0728970167586,0,4,5
6,chr1,12040501,12040503,3,+,2.98872607350308,6,2.98872607350308,2,12040501,1.7354107254247,0,2,3
7,chr1,12227042,12227048,7,+,4.98243796856738,7,4.98243796856738,2,12227048,2.97533831753701,0,6,7
8,chr1,16693737,16693740,4,+,3.99136991489074,8,3.99136991489074,4,16693739,1.13301062328069,0,3,4
9,chr1,17231691,17231699,9,+,1.3849535708297,9,1.3849535708297,8,17231694,0.533371820528779,2,6,5
10,chr1,22379185,22379204,20,+,11.0885509572451,10,11.0885509572451,6,22379202,3.2784944045561,0,19,20
11,chr1,23345961,23345962,2,+,2.77770613763173,11,2.77770613763173,2,23345961,1.5544762572477,0,1,2
12,chr1,24018282,24018296,15,+,57.1996985688621,12,57.1996985688621,10,24018296,37.8092513133758,9,14,6
13,chr1,24104908,24104909,2,+,2.99067900515142,13,2.99067900515142,2,24104908,2.1279501844661,0,1,2
14,chr1,25664799,25664825,27,+,9.56953544029751,14,9.56953544029751,5,25664825,4.70613677085221,0,26,27
15,chr1,26496399,26496418,20,+,4.56167202472774,15,4.56167202472774,2,26496418,3.24816804268546,0,19,20
16,chr1,26606551,26606591,41,+,24.7522253395436,16,24.7522253395436,15,26606590,6.50330983725937,5,39,35
17,chr1,26644449,26644450,2,+,5.87495742631743,17,5.87495742631743,2,26644449,5.13214110281588,0,1,2
18,chr1,26798942,26798970,29,+,3.36384730511488,18,3.36384730511488,4,26798968,1.5544762572477,0,28,29
19,chr1,27248213,27248251,39,+,22.1866421607818,19,22.1866421607818,15,27248247,3.12688611364899,0,34,35
20,chr1,28562613,28562676,64,+,107.488195035356,20,107.488195035356,31,28562635,18.3347513865505,21,54,34
21,chr1,28832553,28832565,13,+,63.8928529176767,21,63.8928529176767,10,28832556,22.5526175378545,2,10,9
22,chr1,29213612,29213615,4,+,2.23685326321098,22,2.23685326321098,2,29213615,1.46407282077684,0,3,4
23,chr1,32479455,32479474,20,+,26.1444564686296,23,26.1444564686296,9,32479471,9.95616288972824,9,16,8
24,chr1,32688000,32688009,10,+,18.5799932239106,24,18.5799932239106,7,32688008,8.91602136741513,1,8,8
25,chr1,33116809,33116818,10,+,8.37738859540756,25,8.37738859540756,5,33116815,2.46057185430776,0,9,10
26,chr1,37791755,37791756,2,+,0.26376053293545,26,0.26376053293545,2,37791756,0.176177164342554,0,1,2
27,chr1,38158168,38158196,29,+,3.03970395404635,27,3.03970395404635,3,38158188,1.40382921285599,0,28,29
28,chr1,38478405,38478409,5,+,9.05020691621402,28,9.05020691621402,4,38478406,5.71075186591411,0,4,5
29,chr1,39456957,39456960,4,+,1.99560509558962,29,1.99560509558962,2,39456960,1.04285051185105,0,3,4
30,chr1,39491990,39492043,54,+,58.0305668246326,30,58.0305668246326,20,39492022,19.4731646626916,7,33,27
31,chr1,43124094,43124099,6,+,8.634553908092,31,8.634553908092,4,43124095,2.76327886688345,0,5,6
32,chr1,43148086,43148097,12,+,7.43792416715539,32,7.43792416715539,4,43148089,4.15888772756846,0,11,12
33,chr1,45241217,45241233,17,+,7.6237344148546,33,7.6237344148546,5,45241233,1.9768962360245,0,16,17
34,chr1,45477918,45477930,13,+,18.2966880853204,34,18.2966880853204,8,45477926,6.59481196929525,0,10,11
